Date,1 yr,30YR,SPREAD,SP500,GOLD,OIL,CHHUSD,JPYUSD,UNEMP IDX
01-03-1977,5.5,7.8,2.3,0,148.34,0,2.55,280.23,7.4
01-04-1977,5.44,7.73,2.29,0,149.18,0,2.53,275.21,7.2
01-05-1977,5.84,7.8,1.95,0,146.54,0,2.52,277.43,7
01-06-1977,5.8,7.64,1.84,0,140.83,0,2.49,272.86,7.2
01-07-1977,5.94,7.64,1.71,0,143.4,0,2.41,264.86,6.9
01-08-1977,6.37,7.68,1.31,0,145.01,0,2.41,266.68,7
01-09-1977,6.53,7.64,1.12,0,149.33,0,2.37,266.77,6.8
01-10-1977,6.97,7.77,0.81,0,158.85,0,2.28,254.74,6.8
01-11-1977,6.95,7.85,0.89,0,162.13,0,2.2,244.7,6.8
01-12-1977,6.96,7.94,0.98,0,160.48,0,2.08,241.02,6.4
01-01-1978,7.28,8.18,0.9,0,173.21,0,1.99,241.08,6.4
01-02-1978,7.34,8.25,0.92,0,178.36,0,1.91,240.37,6.3
01-03-1978,7.31,8.23,0.92,0,183.77,0,1.9,231.86,6.3
01-04-1978,7.45,8.34,0.89,0,175.32,0,1.91,221.86,6.1
01-05-1978,7.82,8.43,0.61,0,176.19,0,1.97,226.18,6
01-06-1978,8.09,8.5,0.41,0,183.76,0,1.89,214.11,5.9
01-07-1978,8.39,8.65,0.26,0,188.57,0,1.8,199.7,6.2
01-08-1978,8.31,8.47,0.16,0,206.45,0,1.67,188.71,5.9
01-09-1978,8.64,8.47,-0.17,0,212.21,0,1.57,189.92,6
01-10-1978,9.14,8.67,-0.47,0,227.43,0,1.54,183.63,5.8
01-11-1978,10.01,8.75,-1.26,0,207.08,0,1.67,192.14,5.9
01-12-1978,10.3,8.88,-1.41,0,207.89,0,1.68,195.96,6
01-01-1979,10.41,8.94,-1.48,0,226.99,0,1.67,197.76,5.9
01-02-1979,10.24,9,-1.24,0,245.59,0,1.68,200.51,5.9
01-03-1979,10.25,9.03,-1.22,0,242.35,0,1.68,206.32,5.8
01-04-1979,10.12,9.08,-1.04,0,239.17,0,1.72,216.29,5.8
01-05-1979,10.12,9.19,-0.92,0,257.74,0,1.73,218.41,5.6
01-06-1979,9.57,8.92,-0.65,0,279.36,0,1.7,218.6,5.7
01-07-1979,9.64,8.93,-0.71,0,295.01,0,1.65,216.51,5.7
01-08-1979,9.98,8.98,-1,0,300.79,0,1.66,217.93,6
01-09-1979,10.84,9.17,-1.68,0,354.5,0,1.61,222.41,5.9
01-10-1979,12.44,9.85,-2.6,0,390.96,0,1.63,230.48,6
01-11-1979,12.39,10.3,-2.09,0,391.52,0,1.64,244.98,5.9
01-12-1979,11.98,10.12,-1.86,0,463.67,0,1.6,240.37,6
01-01-1980,12.06,10.6,-1.46,0,674.58,0,1.6,237.89,6.3
01-02-1980,13.92,12.13,-1.79,0,665.89,0,1.64,244.35,6.3
01-03-1980,15.82,12.34,-3.48,0,554.28,0,1.76,248.48,6.3
01-04-1980,13.3,11.4,-1.9,0,516.71,0,1.76,250.28,6.9
01-05-1980,9.39,10.36,0.97,0,514.27,0,1.66,228.63,7.5
01-06-1980,8.16,9.81,1.66,0,600.79,0,1.63,217.92,7.6
01-07-1980,8.65,10.24,1.59,0,645.75,0,1.61,221.14,7.8
01-08-1980,10.24,11,0.76,0,626.36,0,1.65,223.91,7.7
01-09-1980,11.52,11.34,-0.18,0,673.94,0,1.64,214.42,7.5
01-10-1980,12.49,11.59,-0.9,0,662.27,0,1.66,209.32,7.5
